NumH,Regg,sx,NacCria,Padre,RegPad,Madre,RegMad,CONS,DEP_PN,EX_PN,DEP_MAT_PN,EX_MAT_PN,DEP_PD,EX_P205,DEP_LECHE,EX_LECHE,DEP_MAT_TOTAL,DEP_P365,EX_P365,DEP_CE365,EX_CE365,DEP_P550,EX_P550,DEP_CE550,EX_CE_550,DEP_P730,EX_P730,DEP_CE730,EX_CE730,MGT,CRIADOR,ULTIMO_PROPIETARIO
931-20,01-62450,M,20/03/2020,204-13,01-49352,516-13,01-55309,"0,01","-0,331020314547837","0,542852760120997","0,102921363040629","0,952465396918063","0,107775229357798","0,406473839830203","1,18953276539974","0,285657001691877","1,24342038007864","1,41726605504587","0,287814700088966","0,147368283093054","0,437697323921932","-0,474567496723461","0,299835803622972","0,360032765399738","0,371362959597742","-0,360389252948886",0,"-0,0239272608125819",0,"0,0663478072458825",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
927-20,01-62449,M,13/03/2020,209-14,01-51082,962-12,01-44959,"0,02","-0,130020314547838","0,542852760120997","0,210421363040629","0,952465396918063","0,398275229357798","0,398257325433276","-0,432467234600262","0,290282415636933","-0,233329619921363","0,30926605504587","0,309176774318153","0,135368283093054","0,437697323921932","0,94543250327654","0,283119653418784","0,0680327653997377","0,32178374122911","-0,0378892529488859",0,"0,0000727391874181006",0,"0,0329556098427232",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
921-20,01-62447,M,11/03/2020,193-13,01-47830,662-16,01-55041,0,"-0,219520314547837","0,558286609031449","-0,0465786369593709","0,951444547564191","-0,802224770642202","0,409168931624309","0,360032765399738","0,239687679674961","-0,0410796199213629","-0,23623394495413","0,287814700088966","0,0318682830930537","0,437697323921932","-0,160567496723461","0,306695213415032","-0,120967234600262","0,386285409911438","0,148110747051114","0,0264663482486986","-0,0004272608125819",0,"-0,0174760184281991",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
919-20,01-62446,M,09/03/2020,204-13,01-49352,926-11,01-52152,"0,02","-0,0945203145478375","0,542852760120997","0,105921363040629","0,952465396918063","1,0617752293578","0,406473839830203","1,13453276539974","0,294828712679212","1,66542038007864","1,07076605504587","0,302240312250378","0,119368283093054","0,437697323921932","-1,18906749672346","0,317765397365375","0,362532765399738","0,386285409911438","-0,400889252948886",0,"-0,0214272608125819",0,"0,0663017671134523",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
906-20,01-62454,H,09/03/2020,204-13,01-49352,512-13,01-47180,"0,02","-0,204020314547837","0,56577701167775","0,0534213630406291","0,952465396918063","0,0307752293577981","0,417128903629505","1,54103276539974","0,285657001691877","1,55642038007864","1,17526605504587","0,312581338620795","0,161868283093054","0,437697323921932","-0,114067496723461","0,342721126745202","0,243032765399738","0,371362959597742","-0,385889252948886",0,"-0,0374272608125819",0,"0,0628754069014237",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
908-20,01-62455,H,09/03/2020,204-13,01-49352,944-11,01-52150,"0,02","-0,166520314547837","0,550647287501864","0,0929213630406291","0,952465396918063","-0,760724770642202","0,406473839830203","0,943032765399738","0,294828712679212","0,562670380078637","1,48826605504587","0,291494421929259","0,0963682830930537","0,437697323921932","-0,587567496723461","0,315585784026614","0,288532765399738","0,386285409911438","-0,327889252948886",0,"-0,0309272608125819",0,"0,0381448931441372",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
902-20,01-62452,H,03/03/2020,204-13,01-49352,534-13,01-47859,"0,01","-0,308520314547837","0,558286609031449","0,119921363040629","0,952465396918063","-0,908724770642202","0,417128903629505","0,748532765399738","0,280948563233238","0,294170380078637","0,80726605504587","0,309176774318153","0,163368283093054","0,437697323921932","-0,127567496723461","0,328422388936371","0,413032765399738","0,371362959597742","-0,363889252948886",0,"-0,0224272608125819",0,"0,0402221598781239",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
904-20,01-62453,H,03/03/2020,193-13,01-47830,556-13,01-52168,0,"-0,460020314547838","0,550647287501864","0,0209213630406291","0,951444547564191","0,0162752293577981","0,403757169837681","0,973032765399738","0,261193593428726","0,981170380078637","-0,19173394495413","0,268591915484238","0,0178682830930537","0,437697323921932","-0,252567496723461","0,315585784026614","-0,0544672346002623","0,386285409911438","0,177610747051114","0,0264663482486986","-0,0054272608125819",0,"0,0084808205036421",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
898-20,01-62451,H,01/03/2020,204-13,01-49352,998-13,01-47176,"0,04","-0,253520314547837","0,56577701167775","0,106921363040629","0,952465396918063","1,6197752293578","0,419741779979787","0,739032765399738","0,276152853560662","1,54892038007864","0,38576605504587","0,305730244076142","0,136868283093054","0,437697323921932","1,12393250327654","0,33463473778286","0,333532765399738","0,386285409911438","-0,407889252948886",0,"0,000572739187418101",0,"0,0856028399347031",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
896-20,01-62445,H,27/02/2020,204-13,01-49352,562-14,01-51183,"0,02","-0,172020314547838","0,56577701167775","0,0679213630406291","0,952465396918063","-0,832724770642202","0,417128903629505","0,707032765399738","0,271265244099239","0,290670380078637","2,08326605504587","0,309176774318153","0,193368283093054","0,437697323921932","-0,253067496723461","0,306695213415032","0,421032765399738","0,371362959597742","-0,364889252948886",0,"-0,0239272608125819",0,"0,0641668004906889",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
